address,usd_seizable_now,tokens
0xd446035a4983b2b04f962cabdbac695102182cb3,14.07,USDC:14.0000;ARB:0.7665
0xd1f0d3afe14525812ca4446305fe3a86245ccace,14.04,ARB:154.6442
0x7eb18b2d2499e0a2697f54d0213df9dbf3b002e2,14.04,USDC.e:14.0422
0x18f08ba90c58fc84767568b5d26b41fce2af539b,14.00,USDC:4.0000;USDT:10.0000
0x0bc71bb95cc09743e22b1db6c282cdc295ea1989,13.89,ARB:152.9890
0x10ac7536ecb5b74e13717c50a5be0294cafe420b,13.83,USDC:13.8283
0x5758d1adc56bec55485626f27fb12a8148b1114b,13.40,DAI:13.4021
0xc0edd48b8b589a7137cd7d632a6929eb9604d37e,13.33,USDC:13.3321
0xea2738b53d7e97a090076b81135f3e65cf52eee7,13.24,USDC:13.2425
0x2c6d5129ad97cdece8db05712f35200b73014dad,13.19,ARB:145.2597
0x12f1ff859999da57c31786f7676c924507377049,13.10,USDC:13.0983
0x0eb9dc6dbcb32f8fb7b0f3e0fe09231e49bb7529,13.00,USDT:5.0000;USDC.e:8.0000
0x6c675021dbff9ade504f1aef9c8f1a13e0ea5ad3,12.99,USDT:12.9910
0x0b05f6f90bb60a342e341825a0c6da6c92d98c43,12.98,USDT:12.9883
0xec3b0fff8be7ad08061fed75d47cbc0124e3d7a2,12.65,USDC:12.6562
0x1f1daab983e8188a1b64a311fd38506ff248a5bf,12.46,ARB:137.1928
0x42940e91d2b9b76714424ea51897bb5c42212feb,12.34,USDT:10.7891;USDC.e:1.5506
0x0c79f93801098694f7b073942a2d126ac6eb03f8,12.26,wstETH:0.0042
0x1634fb9ced0809af7173ecafdeb7a95cb4de8208,12.24,WBTC:0.0002
0xf036b29c8d40f505ff1ebf2100d27ca3fcabe616,12.17,USDC:12.1744
0x6c1aa0a101d8abe9bea5f8abfd2e0c72dba096c5,12.06,DAI:12.0644
0x14f3137b6c53939aa15910c5dedd0c5959be16b7,12.02,ARB:132.3212
0xe18e2f7846f52ced455ca666046fdfa9ef0f3bf1,11.98,USDT:11.9834
0x9cc713e9832096082991d12e3e6499142ac00076,11.85,ARB:130.4501
0xb65363d75039092f2cc32aa0de8c7e6c38a9af05,11.84,USDC:11.8385
